TITLE     = "Plot3D DataSet"
VARIABLES = "x"
"y"
"u"
"v"
ZONE T="LES dx0.177mm"
 I=451, J=129, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 0.000000000E+00 0.000000000E+00 4.571589050E+02 -6.909103598E-03
 1.769999944E-04 0.000000000E+00 4.665147705E+02 2.199532092E-02
 3.539999889E-04 0.000000000E+00 4.792826843E+02 5.914621428E-02
 5.310000270E-04 0.000000000E+00 4.974118042E+02 6.902387738E-02
 7.079999777E-04 0.000000000E+00 5.221530762E+02 -2.430678532E-02
 8.849999867E-04 0.000000000E+00 5.532496948E+02 -1.647401005E-01
 1.062000054E-03 0.000000000E+00 5.883198242E+02 -1.743738800E-01
 1.239000005E-03 0.000000000E+00 6.246856689E+02 -6.672325730E-02
 1.415999955E-03 0.000000000E+00 6.611005249E+02 3.702539206E-02
 1.593000023E-03 0.000000000E+00 6.971028442E+02 6.235616654E-02
 1.769999973E-03 0.000000000E+00 7.277614746E+02 6.211243942E-02
 1.947000041E-03 0.000000000E+00 7.465696411E+02 1.564072445E-02
 2.124000108E-03 0.000000000E+00 7.406491699E+02 -6.425353289E-01
 2.301000059E-03 0.000000000E+00 6.959993286E+02 -4.270993769E-01
 2.478000009E-03 0.000000000E+00 6.162838135E+02 -4.006220698E-01
 2.654999960E-03 0.000000000E+00 5.460311890E+02 -7.490203977E-01
 2.831999911E-03 0.000000000E+00 5.053128052E+02 -7.219803333E-01
 3.009000095E-03 0.000000000E+00 4.830993042E+02 -4.184652865E-01
 3.186000045E-03 0.000000000E+00 4.725237427E+02 -2.330742627E-01
 3.362999996E-03 0.000000000E+00 4.702594604E+02 -3.098559082E-01
 3.539999947E-03 0.000000000E+00 4.709619751E+02 -4.858631492E-01
 3.716999898E-03 0.000000000E+00 4.736614990E+02 -6.019049287E-01
 3.894000081E-03 0.000000000E+00 4.810056152E+02 -5.623703003E-01
 4.071000032E-03 0.000000000E+00 4.960169373E+02 -3.710128665E-01
 4.248000216E-03 0.000000000E+00 5.184792480E+02 -1.067731008E-01
 4.424999934E-03 0.000000000E+00 5.455827026E+02 1.632233709E-01
 4.602000117E-03 0.000000000E+00 5.746338501E+02 3.759848773E-01
 4.778999835E-03 0.000000000E+00 6.023956909E+02 4.357975423E-01
 4.956000019E-03 0.000000000E+00 6.262677002E+02 3.527561724E-01
