TITLE     = "Plot3D DataSet"
VARIABLES = "x"
"y"
"u"
"v"
ZONE T="LES dx0.25mm"
 I=321, J=91, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 0.000000000E+00 0.000000000E+00 4.574780273E+02 -2.402733453E-02
 2.500000119E-04 0.000000000E+00 4.718935547E+02 -3.124641068E-02
 5.000000237E-04 0.000000000E+00 4.948895264E+02 8.802090585E-02
 7.500000065E-04 0.000000000E+00 5.307606812E+02 1.664572805E-01
 1.000000047E-03 0.000000000E+00 5.772296143E+02 1.117762625E-01
 1.249999972E-03 0.000000000E+00 6.288527832E+02 -6.412936747E-02
 1.500000013E-03 0.000000000E+00 6.805573120E+02 -2.677803338E-01
 1.750000054E-03 0.000000000E+00 7.184709473E+02 -1.546807121E-02
 2.000000095E-03 0.000000000E+00 7.190290527E+02 1.201184392E+00
 2.249999903E-03 0.000000000E+00 6.721470337E+02 2.896520138E+00
 2.499999944E-03 0.000000000E+00 5.870908203E+02 1.839736342E+00
 2.749999985E-03 0.000000000E+00 5.194336548E+02 1.502189338E-01
 3.000000026E-03 0.000000000E+00 4.847728271E+02 -1.148411632E-01
 3.250000067E-03 0.000000000E+00 4.721753235E+02 5.490123853E-02
 3.500000108E-03 0.000000000E+00 4.717055054E+02 2.271791995E-01
 3.749999916E-03 0.000000000E+00 4.826018982E+02 1.928158253E-01
 4.000000190E-03 0.000000000E+00 5.077501221E+02 -6.675475091E-02
 4.250000231E-03 0.000000000E+00 5.416951294E+02 -4.516244531E-01
 4.499999806E-03 0.000000000E+00 5.773736572E+02 -6.178833246E-01
 4.749999847E-03 0.000000000E+00 6.089821777E+02 -5.833883286E-01
 4.999999888E-03 0.000000000E+00 6.303282471E+02 -3.775587082E-01
 5.249999929E-03 0.000000000E+00 6.398450928E+02 -9.111888707E-02
 5.499999970E-03 0.000000000E+00 6.379149780E+02 2.796318531E-01
 5.750000011E-03 0.000000000E+00 6.245623169E+02 6.545853615E-01
 6.000000052E-03 0.000000000E+00 5.989822998E+02 7.121779323E-01
 6.250000093E-03 0.000000000E+00 5.635351562E+02 4.551475644E-01
 6.500000134E-03 0.000000000E+00 5.290278931E+02 1.987614185E-01
 6.750000175E-03 0.000000000E+00 5.085693359E+02 2.854746580E-02
 7.000000216E-03 0.000000000E+00 5.044870605E+02 -1.059015915E-01
 7.249999791E-03 0.000000000E+00 5.117904358E+02 -1.907110512E-01
 7.499999832E-03 0.000000000E+00 5.265371704E+02 -2.764201164E-01
 7.749999873E-03 0.000000000E+00 5.457099609E+02 -4.250431061E-01
 8.000000380E-03 0.000000000E+00 5.661962891E+02 -5.602763891E-01
 8.249999955E-03 0.000000000E+00 5.847716675E+02 -6.060311198E-01
 8.500000462E-03 0.000000000E+00 5.981232300E+02 -5.454739332E-01
 8.750000037E-03 0.000000000E+00 6.042087402E+02 -3.875305653E-01
 8.999999613E-03 0.000000000E+00 6.030396118E+02 -1.245386153E-01
 9.250000119E-03 0.000000000E+00 5.945743408E+02 1.742330045E-01
 9.499999695E-03 0.000000000E+00 5.785476685E+02 3.590557873E-01
 9.750000201E-03 0.000000000E+00 5.569362793E+02 3.349238634E-01
 9.999999776E-03 0.000000000E+00 5.366020508E+02 1.045066416E-01
 1.025000028E-02 0.000000000E+00 5.260357056E+02 -1.717879474E-01
 1.049999986E-02 0.000000000E+00 5.249893799E+02 -3.903583884E-01
 1.075000037E-02 0.000000000E+00 5.301844482E+02 -5.488708019E-01
 1.099999994E-02 0.000000000E+00 5.401292725E+02 -6.628887653E-01
 1.125000045E-02 0.000000000E+00 5.532545776E+02 -7.274481058E-01
 1.150000002E-02 0.000000000E+00 5.669478149E+02 -7.315123081E-01
 1.174999960E-02 0.000000000E+00 5.780012817E+02 -6.732903123E-01
 1.200000010E-02 0.000000000E+00 5.842283936E+02 -5.637175441E-01
 1.224999968E-02 0.000000000E+00 5.852493286E+02 -4.124601781E-01
 1.250000019E-02 0.000000000E+00 5.812305298E+02 -2.320186496E-01
 1.274999976E-02 0.000000000E+00 5.723540039E+02 -6.571273506E-02
 1.300000027E-02 0.000000000E+00 5.599555664E+02 2.606604621E-02
 1.324999984E-02 0.000000000E+00 5.476774902E+02 1.528581418E-02
 1.350000035E-02 0.000000000E+00 5.396021729E+02 -8.093350381E-02
 1.374999993E-02 0.000000000E+00 5.370852661E+02 -2.181010544E-01
 1.400000043E-02 0.000000000E+00 5.393081665E+02 -3.409412801E-01
 1.425000001E-02 0.000000000E+00 5.452009277E+02 -4.039963782E-01
 1.449999958E-02 0.000000000E+00 5.535234985E+02 -3.967397213E-01
 1.475000009E-02 0.000000000E+00 5.622443848E+02 -3.418635726E-01
 1.499999966E-02 0.000000000E+00 5.690369873E+02 -2.682045996E-01
 1.525000017E-02 0.000000000E+00 5.725217285E+02 -1.845060289E-01
 1.549999975E-02 0.000000000E+00 5.723674927E+02 -7.060018182E-02
 1.575000025E-02 0.000000000E+00 5.686815186E+02 8.084770292E-02
 1.600000076E-02 0.000000000E+00 5.621232300E+02 2.254193276E-01
 1.624999940E-02 0.000000000E+00 5.543480225E+02 3.098980784E-01
 1.649999991E-02 0.000000000E+00 5.477097778E+02 3.128908575E-01
 1.675000042E-02 0.000000000E+00 5.440034790E+02 2.370682061E-01
 1.700000092E-02 0.000000000E+00 5.437299805E+02 1.118291989E-01
 1.724999957E-02 0.000000000E+00 5.464252319E+02 -5.918531213E-03
 1.750000007E-02 0.000000000E+00 5.510751953E+02 -5.342755467E-02
 1.775000058E-02 0.000000000E+00 5.562598267E+02 -4.421931691E-03
